metastep 0 finished, loss: 0.8444443941116333
metastep 1 finished, loss: 0.9229175448417664
metastep 2 finished, loss: 0.9034715890884399
metastep 3 finished, loss: 0.8596978783607483
metastep 4 finished, loss: 0.9057382345199585
metastep 5 finished, loss: 0.8163641691207886
metastep 6 finished, loss: 0.7898439764976501
metastep 7 finished, loss: 0.8060994744300842
metastep 8 finished, loss: 0.7745579481124878
metastep 9 finished, loss: 0.8395220041275024
metastep 10 finished, loss: 0.7804027199745178
metastep 11 finished, loss: 0.8727933764457703
metastep 12 finished, loss: 0.7356224060058594
metastep 13 finished, loss: 0.7494902014732361
metastep 14 finished, loss: 0.8285027146339417
metastep 15 finished, loss: 0.8694573640823364
metastep 16 finished, loss: 0.7622613906860352
metastep 17 finished, loss: 0.7661535739898682
metastep 18 finished, loss: 0.7876103520393372
metastep 19 finished, loss: 0.7946053743362427
metastep 20 finished, loss: 0.7866225242614746
metastep 21 finished, loss: 0.7424650192260742
metastep 22 finished, loss: 0.6436159610748291
metastep 23 finished, loss: 0.7243736982345581
metastep 24 finished, loss: 0.7327954173088074
metastep 25 finished, loss: 0.7521038055419922
metastep 26 finished, loss: 0.7501661777496338
metastep 27 finished, loss: 0.7746840715408325
metastep 28 finished, loss: 0.6921560764312744
metastep 29 finished, loss: 0.7655981779098511
metastep 30 finished, loss: 0.729042112827301
metastep 31 finished, loss: 0.7591527700424194
metastep 32 finished, loss: 0.6717211008071899
metastep 33 finished, loss: 0.7068814039230347
metastep 34 finished, loss: 0.7014297842979431
metastep 35 finished, loss: 0.6327391266822815
metastep 36 finished, loss: 0.6977347135543823
metastep 37 finished, loss: 0.7097626328468323
metastep 38 finished, loss: 0.6370410919189453
metastep 39 finished, loss: 0.7081747651100159
metastep 40 finished, loss: 0.714863657951355
metastep 41 finished, loss: 0.6639140844345093
metastep 42 finished, loss: 0.6809975504875183
metastep 43 finished, loss: 0.7003008723258972
metastep 44 finished, loss: 0.6488358974456787
metastep 45 finished, loss: 0.6548904180526733
metastep 46 finished, loss: 0.6671664714813232
metastep 47 finished, loss: 0.6761419773101807
metastep 48 finished, loss: 0.6702101230621338
metastep 49 finished, loss: 0.6495242118835449
metastep 50 finished, loss: 0.6221993565559387
metastep 51 finished, loss: 0.6589106321334839
metastep 52 finished, loss: 0.6358755826950073
metastep 53 finished, loss: 0.5880623459815979
metastep 54 finished, loss: 0.5791937112808228
metastep 55 finished, loss: 0.6425045728683472
metastep 56 finished, loss: 0.5582392811775208
metastep 57 finished, loss: 0.5720279812812805
metastep 58 finished, loss: 0.6656675934791565
metastep 59 finished, loss: 0.6426823139190674
metastep 60 finished, loss: 0.6400232315063477
metastep 61 finished, loss: 0.6578845977783203
metastep 62 finished, loss: 0.5974892973899841
metastep 63 finished, loss: 0.608665406703949
metastep 64 finished, loss: 0.6030009984970093
metastep 65 finished, loss: 0.5815604329109192
metastep 66 finished, loss: 0.5689244866371155
metastep 67 finished, loss: 0.5687870979309082
metastep 68 finished, loss: 0.7020773887634277
metastep 69 finished, loss: 0.6244381666183472
metastep 70 finished, loss: 0.6385757923126221
metastep 71 finished, loss: 0.6620161533355713
metastep 72 finished, loss: 0.6146995425224304
metastep 73 finished, loss: 0.6495925188064575
metastep 74 finished, loss: 0.5906972289085388
metastep 75 finished, loss: 0.6552023887634277
metastep 76 finished, loss: 0.737704873085022
metastep 77 finished, loss: 0.6767563223838806
metastep 78 finished, loss: 0.7523095011711121
metastep 79 finished, loss: 0.6506827473640442
metastep 80 finished, loss: 0.6725752949714661
metastep 81 finished, loss: 0.6955801844596863
metastep 82 finished, loss: 0.6671808958053589
metastep 83 finished, loss: 0.7145408391952515
metastep 84 finished, loss: 0.7128982543945312
metastep 85 finished, loss: 0.6703069806098938
metastep 86 finished, loss: 0.6612275242805481
metastep 87 finished, loss: 0.6496556401252747
metastep 88 finished, loss: 0.7067884206771851
metastep 89 finished, loss: 0.7213347554206848
metastep 90 finished, loss: 0.6844605207443237
metastep 91 finished, loss: 0.7089207768440247
metastep 92 finished, loss: 0.7562613487243652
metastep 93 finished, loss: 0.7505640983581543
metastep 94 finished, loss: 0.7195917367935181
metastep 95 finished, loss: 0.6770159006118774
metastep 96 finished, loss: 0.7499485015869141
metastep 97 finished, loss: 0.7015957236289978
metastep 98 finished, loss: 0.6610413789749146
metastep 99 finished, loss: 0.6154314875602722
metastep 100 finished, loss: 0.7141931056976318
metastep 101 finished, loss: 0.7497060298919678
metastep 102 finished, loss: 0.6567381024360657
metastep 103 finished, loss: 0.6430671215057373
metastep 104 finished, loss: 0.7276574969291687
metastep 105 finished, loss: 0.7423609495162964
metastep 106 finished, loss: 0.7548717856407166
metastep 107 finished, loss: 0.6696734428405762
metastep 108 finished, loss: 0.6713173389434814
metastep 109 finished, loss: 0.7003740072250366
metastep 110 finished, loss: 0.6459187865257263
metastep 111 finished, loss: 0.6955525279045105
metastep 112 finished, loss: 0.7154528498649597
metastep 113 finished, loss: 0.72801673412323
metastep 114 finished, loss: 0.6426053047180176
metastep 115 finished, loss: 0.6793227195739746
metastep 116 finished, loss: 0.7345983386039734
metastep 117 finished, loss: 0.7078810930252075
metastep 118 finished, loss: 0.6935986876487732
metastep 119 finished, loss: 0.703803300857544
metastep 120 finished, loss: 0.7000621557235718
metastep 121 finished, loss: 0.7392143607139587
metastep 122 finished, loss: 0.7336781024932861
metastep 123 finished, loss: 0.7216602563858032
metastep 124 finished, loss: 0.7597318887710571
metastep 125 finished, loss: 0.7644178867340088
metastep 126 finished, loss: 0.7228389382362366
metastep 127 finished, loss: 0.6814938187599182
metastep 128 finished, loss: 0.8325901031494141
metastep 129 finished, loss: 0.6970155239105225
metastep 130 finished, loss: 0.659772515296936
metastep 131 finished, loss: 0.6735794544219971
metastep 132 finished, loss: 0.6552459001541138
metastep 133 finished, loss: 0.6860623359680176
metastep 134 finished, loss: 0.6948288679122925
metastep 135 finished, loss: 0.6431950926780701
metastep 136 finished, loss: 0.7162392139434814
