metastep 0 finished, loss: 0.11462024319916964
metastep 1 finished, loss: 0.11018607206642628
metastep 2 finished, loss: 0.10534693393856287
metastep 3 finished, loss: 0.09480470512062311
metastep 4 finished, loss: 0.09360779263079166
metastep 5 finished, loss: 0.09495963715016842
metastep 6 finished, loss: 0.08229489624500275
metastep 7 finished, loss: 0.09441394545137882
metastep 8 finished, loss: 0.08570696413516998
metastep 9 finished, loss: 0.0909200431779027
metastep 10 finished, loss: 0.08899442292749882
metastep 11 finished, loss: 0.07999909436330199
metastep 12 finished, loss: 0.08641239954158664
metastep 13 finished, loss: 0.0895701851695776
metastep 14 finished, loss: 0.08538573142141104
metastep 15 finished, loss: 0.08888628566637635
metastep 16 finished, loss: 0.08150517009198666
metastep 17 finished, loss: 0.08040836034342647
metastep 18 finished, loss: 0.08524953573942184
metastep 19 finished, loss: 0.08232455095276237
metastep 20 finished, loss: 0.08373677544295788
metastep 21 finished, loss: 0.08445982402190566
metastep 22 finished, loss: 0.08164397161453962
metastep 23 finished, loss: 0.0826423354446888
metastep 24 finished, loss: 0.08236941555514932
metastep 25 finished, loss: 0.07912934711202979
metastep 26 finished, loss: 0.07533442648127675
metastep 27 finished, loss: 0.07653366914018989
metastep 28 finished, loss: 0.07073652045801282
metastep 29 finished, loss: 0.08138382667675614
metastep 30 finished, loss: 0.08128389623016119
metastep 31 finished, loss: 0.07544062193483114
metastep 32 finished, loss: 0.07444357546046376
metastep 33 finished, loss: 0.07122402405366302
metastep 34 finished, loss: 0.08322379132732749
metastep 35 finished, loss: 0.08092583529651165
metastep 36 finished, loss: 0.07937260530889034
metastep 37 finished, loss: 0.07810517400503159
metastep 38 finished, loss: 0.08877248177304864
metastep 39 finished, loss: 0.08807663759216666
metastep 40 finished, loss: 0.08586129453033209
metastep 41 finished, loss: 0.0868732063099742
metastep 42 finished, loss: 0.08812749572098255
metastep 43 finished, loss: 0.08271547267213464
metastep 44 finished, loss: 0.09004967845976353
metastep 45 finished, loss: 0.08717884356155992
metastep 46 finished, loss: 0.09454021416604519
metastep 47 finished, loss: 0.0880744056776166
metastep 48 finished, loss: 0.09220506437122822
metastep 49 finished, loss: 0.08091524802148342
