metastep 0 finished, loss: 0.11462097801268101
metastep 1 finished, loss: 0.11018516449257731
metastep 2 finished, loss: 0.10534828109666705
metastep 3 finished, loss: 0.09480451280251145
metastep 4 finished, loss: 0.0936042764224112
metastep 5 finished, loss: 0.09496134333312511
metastep 6 finished, loss: 0.08229535119608045
metastep 7 finished, loss: 0.09441381925716996
metastep 8 finished, loss: 0.08571003936231136
metastep 9 finished, loss: 0.09091805946081877
metastep 10 finished, loss: 0.08899176493287086
metastep 11 finished, loss: 0.07999737933278084
metastep 12 finished, loss: 0.086412088945508
metastep 13 finished, loss: 0.08956965152174234
metastep 14 finished, loss: 0.08538334676995873
metastep 15 finished, loss: 0.08888036105781794
metastep 16 finished, loss: 0.08150234306231141
metastep 17 finished, loss: 0.08040493493899703
metastep 18 finished, loss: 0.08524820674210787
metastep 19 finished, loss: 0.08232021937146783
metastep 20 finished, loss: 0.0837318068370223
metastep 21 finished, loss: 0.0844583516009152
metastep 22 finished, loss: 0.08164150547236204
metastep 23 finished, loss: 0.08264272613450885
metastep 24 finished, loss: 0.0823675012215972
metastep 25 finished, loss: 0.07912736386060715
metastep 26 finished, loss: 0.07533210190013051
metastep 27 finished, loss: 0.07653332874178886
metastep 28 finished, loss: 0.07073604594916105
metastep 29 finished, loss: 0.08138096099719405
metastep 30 finished, loss: 0.08128178957849741
metastep 31 finished, loss: 0.07543931063264608
metastep 32 finished, loss: 0.07444267021492124
metastep 33 finished, loss: 0.07122412603348494
metastep 34 finished, loss: 0.08322265325114131
metastep 35 finished, loss: 0.08092631958425045
metastep 36 finished, loss: 0.079371128231287
metastep 37 finished, loss: 0.07810473861172795
metastep 38 finished, loss: 0.08877298794686794
metastep 39 finished, loss: 0.08807603409513831
metastep 40 finished, loss: 0.08586136531084776
metastep 41 finished, loss: 0.08687317464500666
metastep 42 finished, loss: 0.08812367031350732
metastep 43 finished, loss: 0.08271328080445528
metastep 44 finished, loss: 0.09004538552835584
metastep 45 finished, loss: 0.08717883285135031
metastep 46 finished, loss: 0.09454072033986449
metastep 47 finished, loss: 0.08807219984009862
metastep 48 finished, loss: 0.09220303222537041
metastep 49 finished, loss: 0.0809125890955329
metastep 50 finished, loss: 0.09233120316639543
metastep 51 finished, loss: 0.08215113077312708
metastep 52 finished, loss: 0.09266954381018877
metastep 53 finished, loss: 0.09034963278099895
metastep 54 finished, loss: 0.08673623064532876
metastep 55 finished, loss: 0.0848947037011385
metastep 56 finished, loss: 0.09132449608296156
metastep 57 finished, loss: 0.08285578433424234
metastep 58 finished, loss: 0.09048185450956225
metastep 59 finished, loss: 0.08806811925023794
metastep 60 finished, loss: 0.09076566062867641
metastep 61 finished, loss: 0.09130373876541853
metastep 62 finished, loss: 0.09505753871053457
metastep 63 finished, loss: 0.08902439381927252
metastep 64 finished, loss: 0.09561507822945714
metastep 65 finished, loss: 0.08349488256499171
metastep 66 finished, loss: 0.08411610778421164
metastep 67 finished, loss: 0.08478836063295603
metastep 68 finished, loss: 0.09017752576619387
metastep 69 finished, loss: 0.08852807711809874
metastep 70 finished, loss: 0.08981429506093264
metastep 71 finished, loss: 0.09124590549618006
metastep 72 finished, loss: 0.09662307985126972
metastep 73 finished, loss: 0.0843695243820548
metastep 74 finished, loss: 0.0843311520293355
metastep 75 finished, loss: 0.08425772609189153
metastep 76 finished, loss: 0.08552454086020589
metastep 77 finished, loss: 0.08601233037188649
metastep 78 finished, loss: 0.08482488058507442
metastep 79 finished, loss: 0.08292790269479156
metastep 80 finished, loss: 0.08366141142323613
metastep 81 finished, loss: 0.07787774782627821
metastep 82 finished, loss: 0.08291102945804596
metastep 83 finished, loss: 0.0849197693169117
metastep 84 finished, loss: 0.08331337058916688
metastep 85 finished, loss: 0.07486683782190084
metastep 86 finished, loss: 0.0746125103905797
metastep 87 finished, loss: 0.08005498675629497
metastep 88 finished, loss: 0.07781965006142855
metastep 89 finished, loss: 0.08371193381026387
metastep 90 finished, loss: 0.08293336071074009
metastep 91 finished, loss: 0.07835317682474852
metastep 92 finished, loss: 0.07652461575344205
metastep 93 finished, loss: 0.07822593161836267
metastep 94 finished, loss: 0.07886723196133971
metastep 95 finished, loss: 0.079900112003088
metastep 96 finished, loss: 0.08136118855327368
