metastep 0 finished, loss: 0.8982760310173035
metastep 1 finished, loss: 0.9703247547149658
metastep 2 finished, loss: 0.9486862421035767
metastep 3 finished, loss: 0.8972733020782471
metastep 4 finished, loss: 0.949561357498169
metastep 5 finished, loss: 0.8614795804023743
metastep 6 finished, loss: 0.8273956775665283
metastep 7 finished, loss: 0.8495961427688599
metastep 8 finished, loss: 0.801134467124939
metastep 9 finished, loss: 0.8755905628204346
metastep 10 finished, loss: 0.8095657229423523
metastep 11 finished, loss: 0.9107587933540344
metastep 12 finished, loss: 0.76314377784729
metastep 13 finished, loss: 0.7755129933357239
metastep 14 finished, loss: 0.8626714944839478
metastep 15 finished, loss: 0.8984576463699341
metastep 16 finished, loss: 0.7964120507240295
metastep 17 finished, loss: 0.7920066714286804
metastep 18 finished, loss: 0.8174844980239868
metastep 19 finished, loss: 0.827464759349823
metastep 20 finished, loss: 0.8174034357070923
metastep 21 finished, loss: 0.7748794555664062
metastep 22 finished, loss: 0.6689066886901855
metastep 23 finished, loss: 0.7484437227249146
metastep 24 finished, loss: 0.7539871335029602
metastep 25 finished, loss: 0.7806942462921143
metastep 26 finished, loss: 0.7778134346008301
metastep 27 finished, loss: 0.7925276756286621
