metastep 0 finished, loss: 0.8475229740142822
metastep 1 finished, loss: 0.9139690399169922
metastep 2 finished, loss: 0.9053968787193298
metastep 3 finished, loss: 0.8558981418609619
metastep 4 finished, loss: 0.9063363075256348
metastep 5 finished, loss: 0.8210031986236572
metastep 6 finished, loss: 0.7923905253410339
metastep 7 finished, loss: 0.8135003447532654
metastep 8 finished, loss: 0.768683910369873
metastep 9 finished, loss: 0.8445576429367065
metastep 10 finished, loss: 0.7772811651229858
metastep 11 finished, loss: 0.8710687756538391
metastep 12 finished, loss: 0.7392300367355347
metastep 13 finished, loss: 0.7475465536117554
metastep 14 finished, loss: 0.8327986598014832
metastep 15 finished, loss: 0.8762948513031006
metastep 16 finished, loss: 0.7628074288368225
metastep 17 finished, loss: 0.768478274345398
metastep 18 finished, loss: 0.7898243069648743
metastep 19 finished, loss: 0.7959428429603577
metastep 20 finished, loss: 0.7814569473266602
metastep 21 finished, loss: 0.7454684972763062
metastep 22 finished, loss: 0.6414939761161804
metastep 23 finished, loss: 0.7293745875358582
metastep 24 finished, loss: 0.7309406995773315
metastep 25 finished, loss: 0.7642373442649841
metastep 26 finished, loss: 0.7438908815383911
metastep 27 finished, loss: 0.7741395235061646
metastep 28 finished, loss: 0.6951396465301514
metastep 29 finished, loss: 0.7589247226715088
metastep 30 finished, loss: 0.726362407207489
metastep 31 finished, loss: 0.7600482702255249
metastep 32 finished, loss: 0.6731765270233154
metastep 33 finished, loss: 0.7018235921859741
metastep 34 finished, loss: 0.7043025493621826
metastep 35 finished, loss: 0.6346050500869751
metastep 36 finished, loss: 0.6951391100883484
metastep 37 finished, loss: 0.7138718366622925
metastep 38 finished, loss: 0.6424387097358704
metastep 39 finished, loss: 0.7104194164276123
metastep 40 finished, loss: 0.7123732566833496
metastep 41 finished, loss: 0.6571567058563232
metastep 42 finished, loss: 0.67852783203125
metastep 43 finished, loss: 0.7001591920852661
metastep 44 finished, loss: 0.650164008140564
metastep 45 finished, loss: 0.6590009927749634
metastep 46 finished, loss: 0.667180061340332
metastep 47 finished, loss: 0.6697795391082764
metastep 48 finished, loss: 0.6689849495887756
metastep 49 finished, loss: 0.6569051146507263
metastep 50 finished, loss: 0.6231475472450256
metastep 51 finished, loss: 0.6550259590148926
metastep 52 finished, loss: 0.6420190334320068
metastep 53 finished, loss: 0.5900289416313171
metastep 54 finished, loss: 0.5794170498847961
metastep 55 finished, loss: 0.63823002576828
metastep 56 finished, loss: 0.56001216173172
metastep 57 finished, loss: 0.5722594261169434
metastep 58 finished, loss: 0.6726672053337097
metastep 59 finished, loss: 0.6443368196487427
metastep 60 finished, loss: 0.6371665000915527
metastep 61 finished, loss: 0.6600422263145447
metastep 62 finished, loss: 0.5936693549156189
metastep 63 finished, loss: 0.6062453985214233
metastep 64 finished, loss: 0.602192759513855
metastep 65 finished, loss: 0.5802354216575623
metastep 66 finished, loss: 0.5685633420944214
metastep 67 finished, loss: 0.5688281655311584
metastep 68 finished, loss: 0.7000938057899475
metastep 69 finished, loss: 0.626818060874939
metastep 70 finished, loss: 0.6368376016616821
metastep 71 finished, loss: 0.660305380821228
metastep 72 finished, loss: 0.6138339638710022
metastep 73 finished, loss: 0.6517465114593506
metastep 74 finished, loss: 0.5908357501029968
metastep 75 finished, loss: 0.6518689393997192
metastep 76 finished, loss: 0.7413681745529175
metastep 77 finished, loss: 0.6782300472259521
metastep 78 finished, loss: 0.7540331482887268
metastep 79 finished, loss: 0.6521729230880737
metastep 80 finished, loss: 0.6733453273773193
metastep 81 finished, loss: 0.6943613290786743
metastep 82 finished, loss: 0.6672424674034119
metastep 83 finished, loss: 0.7102414965629578
metastep 84 finished, loss: 0.7150628566741943
metastep 85 finished, loss: 0.6687740087509155
metastep 86 finished, loss: 0.6597650647163391
metastep 87 finished, loss: 0.6488839387893677
metastep 88 finished, loss: 0.7046409845352173
metastep 89 finished, loss: 0.7190112471580505
metastep 90 finished, loss: 0.6832877397537231
metastep 91 finished, loss: 0.70897376537323
metastep 92 finished, loss: 0.7550461888313293
metastep 93 finished, loss: 0.7529056072235107
metastep 94 finished, loss: 0.7188951373100281
metastep 95 finished, loss: 0.6793650388717651
metastep 96 finished, loss: 0.7473254799842834
metastep 97 finished, loss: 0.7008011937141418
metastep 98 finished, loss: 0.661249041557312
metastep 99 finished, loss: 0.6132427453994751
metastep 100 finished, loss: 0.7112612128257751
metastep 101 finished, loss: 0.7466515302658081
metastep 102 finished, loss: 0.6594302654266357
metastep 103 finished, loss: 0.6440190076828003
metastep 104 finished, loss: 0.7209271788597107
metastep 105 finished, loss: 0.7422738671302795
metastep 106 finished, loss: 0.7599447965621948
metastep 107 finished, loss: 0.6756629347801208
metastep 108 finished, loss: 0.6692723631858826
metastep 109 finished, loss: 0.7008412480354309
metastep 110 finished, loss: 0.6423094272613525
metastep 111 finished, loss: 0.6999912261962891
metastep 112 finished, loss: 0.7118768692016602
metastep 113 finished, loss: 0.7268317937850952
metastep 114 finished, loss: 0.6424604058265686
metastep 115 finished, loss: 0.6805771589279175
metastep 116 finished, loss: 0.734612762928009
metastep 117 finished, loss: 0.7080147862434387
metastep 118 finished, loss: 0.6965007185935974
metastep 119 finished, loss: 0.7046746611595154
metastep 120 finished, loss: 0.7012222409248352
metastep 121 finished, loss: 0.7413119077682495
metastep 122 finished, loss: 0.7290239930152893
metastep 123 finished, loss: 0.720906138420105
