metastep 0 finished, loss: 0.8983178734779358
metastep 1 finished, loss: 0.9703294634819031
metastep 2 finished, loss: 0.9486812353134155
metastep 3 finished, loss: 0.8973387479782104
metastep 4 finished, loss: 0.9495580196380615
metastep 5 finished, loss: 0.8615046739578247
metastep 6 finished, loss: 0.8274217844009399
metastep 7 finished, loss: 0.8496043682098389
metastep 8 finished, loss: 0.8011589050292969
metastep 9 finished, loss: 0.8756316304206848
metastep 10 finished, loss: 0.8095594048500061
metastep 11 finished, loss: 0.9107465744018555
metastep 12 finished, loss: 0.7631520628929138
metastep 13 finished, loss: 0.7755017876625061
metastep 14 finished, loss: 0.8626800775527954
metastep 15 finished, loss: 0.8984633684158325
metastep 16 finished, loss: 0.7963646650314331
metastep 17 finished, loss: 0.7919886112213135
metastep 18 finished, loss: 0.8174929618835449
metastep 19 finished, loss: 0.8274692893028259
metastep 20 finished, loss: 0.817426323890686
metastep 21 finished, loss: 0.7748568654060364
metastep 22 finished, loss: 0.6689030528068542
metastep 23 finished, loss: 0.7484648823738098
metastep 24 finished, loss: 0.7539681196212769
metastep 25 finished, loss: 0.7806746959686279
metastep 26 finished, loss: 0.7777938842773438
metastep 27 finished, loss: 0.7925321459770203
metastep 28 finished, loss: 0.7122283577919006
metastep 29 finished, loss: 0.7799737453460693
metastep 30 finished, loss: 0.7508190870285034
metastep 31 finished, loss: 0.7738816738128662
metastep 32 finished, loss: 0.6932051181793213
metastep 33 finished, loss: 0.7209105491638184
metastep 34 finished, loss: 0.7176070213317871
metastep 35 finished, loss: 0.6463903188705444
metastep 36 finished, loss: 0.7137374877929688
metastep 37 finished, loss: 0.7273324728012085
metastep 38 finished, loss: 0.6550575494766235
metastep 39 finished, loss: 0.7241217494010925
metastep 40 finished, loss: 0.7272164821624756
metastep 41 finished, loss: 0.6759770512580872
metastep 42 finished, loss: 0.6931694746017456
metastep 43 finished, loss: 0.713420569896698
metastep 44 finished, loss: 0.6622290015220642
metastep 45 finished, loss: 0.6734679937362671
metastep 46 finished, loss: 0.6776981353759766
metastep 47 finished, loss: 0.682749330997467
metastep 48 finished, loss: 0.6843417286872864
metastep 49 finished, loss: 0.6683067083358765
metastep 50 finished, loss: 0.6312501430511475
metastep 51 finished, loss: 0.672188937664032
metastep 52 finished, loss: 0.6511712670326233
metastep 53 finished, loss: 0.5984623432159424
metastep 54 finished, loss: 0.59065181016922
metastep 55 finished, loss: 0.6479817628860474
metastep 56 finished, loss: 0.5718055963516235
